Date Submitted,Date of Sighting,City,ST,Short Description
6/18/2018,6/12/2018,Palm Springs, CA,{rjl} got up to go to bathroom am glanced over at my camera monitor and there was a spinning circle hovering around my moms car and a strange flying insect that would enter the circle almost as if it was controlling the spinning sphere{ i recorded
6/16/2018,6/15/2018,Redlands, CA,{cak} Went outside to smoke about 959 and looked twordsSE saw light that looked out a place looked like flying jelly fish.
6/16/2018,6/16/2018,Westminster, CA,{cak} It was a pulsating white. Light behind thick cloud i have three videos it moved fast in one direction and came back went dim and then again pulsated
6/14/2018,6/11/2018,Simi Valley , CA,{cak} Made my summer playing baseball he said what’s that in the sky I turned around looked at it in amazement and took a picture of it
6/13/2018,6/12/2018,Culver City, CA,"{cak} Bright, pulsatine, hovering starlike object during daylight in Culver City, CA seen by multiple poeple leaving work"
6/12/2018,6/11/2018,Ukiah, CA,"{cak} Was already watching lots of strange lights in sky when saw three large, dim circular lights first in a line then triangle shape then move together then apart. No sound. gliding movement."
6/10/2018,6/9/2018,Sacramento, CA,{cak} have no clue what these are
6/8/2018,6/7/2018,Mammoth Lakes, CA,"{jpg} 3 ufo sightings in 30 minutes, first two glowing orbs, third was following us"
6/7/2018,6/6/2018,Colton or Loma Linda, CA,"{jpg} Fiery light moves erratically, then turns into saucer and disappears"
6/7/2018,6/6/2018,CA, US,{jpg} V-shaped object wobbling as it flew over San Diego in NNE direction. Moderate/slow speed.
6/3/2018,6/3/2018,Burbank , CA,"{jpg} White spots in clear blue sky.. moving SE direction, ascending."
6/3/2018,6/3/2018,Flournoy, CA,{jpg} there are always these orb like disco balls hovering out and around my house and nearby mountain range and on occasion have followed me around my property and even in my car.
6/3/2018,6/2/2018,Chatworth, CA,"{jpg} Blue orb flew between the moon and saturn (from my earthly POV), growing smaller and dimmer as it moved east."
6/3/2018,6/1/2018,La Grange, CA,"{jpg} A Star light moving west to south east, white light as high altitude as stars, Absolute Silent."
12/9/2018,7/26/2018,Long Beach, CA,"{cak} 1-3 Objects. 4-5 nights a week. Easily observed. Every person I have pointed it out to Notice. Going on 2 years. Easy to see ALL of Long Beach Nightly 1-3 objects, does not fail to show."
11/11/2018,7/6/2018,Anaheim, CA,{cak} Hidden in the clouds just west of Disneyland
10/13/2018,7/22/2018,Windsor, CA,{tjd} They were 9-10 feet tall
9/26/2018,7/31/2018,Martinez/pacheco, CA,{dr}I saw a cigar shaped silvery object it was very high up but I early saw it shift around for a minute then instantly disappear to the south
9/14/2018,7/21/2018,Camarillo, CA,{cak} Video with iPhone 8+ an object moving quickly up and then west in the sky over Somis CA
8/24/2018,7/23/2018,big bear lake, CA,"{rjl} outside taking a break at 10 am, saw a light shining down on me I looked up in the sky and saw a UFO fly right over"
8/1/2018,7/23/2018,Campo, CA,"{rjl} Object appeared, disappeared, reappeared, then I lost contact. I am former ADA, know how to track Aircraft"
7/30/2018,7/29/2018,Newport, Balboa Beach,{rjl} Large UFO over the Balboa Beach enabled Lightspeed
7/27/2018,7/22/2018,Anaheim , CA,{cak} Saw 5 glowing triangles flying in formation going westbound.Lead triangle switched places with triangle behind right hand side & then they vanished.
7/26/2018,7/23/2018,Sin city, CA,{cak} Saw ufo i think on our way home at sunset forming a triangle caught on video
