,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
7,3/30/2018,3/29/2018,{td} Bright flashing burst of light at high elevation moving west to east with slight changed of direction,"Pacific Grove, CA, US",,
,,8:30PM,,,,
8,3/29/2018,3/29/2018,"{td} The UFO flew over the house, then headed for my mom and I.","Pitsburgh, CA, US",,
,,8:30PM,,,,
9,3/27/2018,3/27/2018,{td} Traveling through desert Hot Springs and went to a view and recorded ufo,"Desert hot springs , CA, US",,trim.8C6C65C4C9814F8A9C7160249F3E79CB.MOV
,,8:15PM,,,,
10,3/25/2018,3/25/2018,All day long appears and disapear,"Daly City, CA, US",,69C99D562E1B412FBDC0A386C83D666A.MOV
,,7:50PM,,,,5C37E40EA4B74DFE9637E851AC1F3D99.MOV
,,,,,,77BC5026CB4A4362BFDF2B2265BB109F.MOV
,,,,,,CF1C1D40A37043F790E50B7D64703A33.MOV
,,,,,,9F1AAC400DDE413F9F965517043EFEC5.MOV
11,3/25/2018,3/24/2018,"{td} I noticed it in photo seconds after taking the photo. I never saw it, heard it. Turns out my photo has a split second of video and it covers a ton of ground in the split second.","Eagle Rock, CA, US",,4A23B600D8814B60A86C559DED503BFF.jpeg
,,4:15PM,,,,81EFED6721814D0C82FC4AD118575803.jpeg
,,,,,,FD0963C900CB45D0BCE6E9087409126E.MOV
12,3/25/2018,3/24/2018,"{td}The extraordinary bright light descended from the West heading East under the cloud cover, later to ascend at unprecedented speeds to the North. Vanishing in the stars.","Merced, CA, US",,20180324210300.mp4
,,9:03PM,,,,
13,3/22/2018,3/22/2018,{rjl} fast moving ufo hovering and changing direction,"Orange, CA, US",,Ufo.mp4
,,8:38AM,,,,
14,3/21/2018,3/20/2018,{rjl} At night in cloud cover 5 lights moved around in circle then all went to center then moved out and returned in circular pattern.,"Palm Desert, CA, US",,
,,12:00AM,,,,
15,3/21/2018,3/15/2018,{rjl} Bright light.,"Santee, CA, US",,IMG6762.JPG
,,7:21PM,,,,IMG6766.JPG
,,,,,,IMG6774.MOV
,,,,,,IMG6767.JPG
,,,,,,IMG6773.JPG
,,,,,,IMG6769.JPG
,,,,,,IMG6764.JPG
,,,,,,IMG6765.JPG
16,3/18/2018,3/18/2018,"{rjl} A black, dull hovering object was seen circling around a certain place in San Bernardino county","Fontana CA, CA, US",,20180318130922.jpg
,,2:11PM,,,,20180318131107.jpg
,,,,,,20180318131120.jpg
,,,,,,20180318131239.jpg
17,3/18/2018,3/17/2018,{rjl} Viewed while traveling on the 15 near Ontario airport mountains were behind sighting,"Ontario , CA, US",,
,,2:40PM,,,,
18,3/18/2018,3/17/2018,{rjl} Six UFOs flying in formation,"CA, US",,
,,12:00AM,,,,
19,3/15/2018,3/13/2018,{cak} Ok was working i the hills cleaning up fire debris when working out doors look up when i see a chemtrail plane go over head.Well this time it had a yellow object following trailing if it then i flashed and it was GONE,"Potter Valley , CA, US",,1552.jpeg
,,9:51AM,,,,1553.jpeg
20,3/15/2018,3/13/2018,"{cak} Multi colored object darting up,down,left,right in no obvious set routes and stayed for hou","Escalon , CA, US",,
,,10:45PM,,,,
21,3/14/2018,3/11/2018,"{cak} Wheel-type UFO with pulsating/morphing glowing center in Hayward, Ca.","Hayward, CA, US",,
,,12:00PM,,,,
22,3/13/2018,3/12/2018,{cak} Very large as evidenced by spacing of lights. View magnified image,"Los Angeles, CA, US",,IMG2018031309363301.jpg
,,9:36PM,,,,Screenshot20180312224949.png
23,3/13/2018,3/12/2018,{cak} My ex husband saw these and our son sent them to me,"valencia, CA, US",,IMG6688.jpeg
,,6:15AM,,,,
24,3/11/2018,3/6/2018,{cak} 2 bright lights traveled north & hovered over me never then went west.,"Escondido, CA, US",,
,,12:00AM,,,,
25,3/9/2018,3/8/2018,"{jpg} Unkown object travels in from the south and stops,then goes north","Oceanside,CA, CA, US",,01UFO.jpg
,,12:00AM,,,,02UFO.jpg
,,,,,,03UFO.jpg
,,,,,,04croped.jpg
,,,,,,04cropedFilter.jpg
26,3/7/2018,3/7/2018,{jpg} I was sitting with my mothers caregiver in the livingroom. It was about 12:30am I looked up at the skylight to see the stars now and again. I looked up and saw a white orb-like object slowly moving north. It looked like the size of a basketball.,"Trabuco, CA, US",,
,,12:00AM,,,,
27,3/7/2018,3/6/2018,"{jpg}I took several photos of the cloud formations. When I looked at the photos on the computer monitor, there was a bright white spot on the photo. I enlarged it to find that it was a glowing oval shaped object at a great distance. Only one photo showed","Willits, CA, US",,BRIGHTLIGHT.jpg
,,5:12PM,,,,UFO.jpg
,,,,,,UFO2.jpg
28,3/4/2018,3/4/2018,{jpg} Saw a bright white reflective object at very high altitude moving across the sky,"Tracy, CA, US",,IMG3337.jpg
,,11:07AM,,,,IMG3308.jpg
,,,,,,IMG3322.jpg
,,,,,,IMG3316.jpg
,,,,,,IMG3327.jpg
,,,,,,IMG3307.jpg
,,,,,,IMG3319.jpg
29,3/1/2018,3/1/2018,{td}Watching a rabbit shaped rain cloud facing south w/ a white cloud next to it.All of the sudden in the eye of the rabbit was a Sauser shape & it looked like it was trying to move.Then it took off very fast past the white cloud & vanished,"Agoura Hills, CA, US",,
,,2:01PM,,,,
1,11/21/2018,4/21/2018,{rjl} This is a raw image from the curiosity camera that catches the horizon line.,"CA, US",,RLA595897982EDRF0730550RHAZ00341M.JPG
,,12:00AM,,,,RRA595897982EDRF0730550RHAZ00341M.JPG
2,10/20/2018,4/10/2018,{rjl} White object moving in the sky,"Santa Clarita, CA, US",,
,,10:10AM,,,,
3,8/30/2018,4/28/2018,"{td} was red.had a beak.non normal hands,fleshy looking, black eyes. came in the night to my bedroom","escondido, CA, US",,
,,12:00AM,,,,
4,8/12/2018,4/8/2018,"{cak} I'm a patrol corporal for private security company, while on payroll at Costa Mesa account around 0330 am I noticed and oblect right in front of me that looked like a triangle with three lights under it and was not making any sound but was up and a","Costa mesa, CA, US",,IMG20180330033626.jpg
,,3:35AM,,,,IMG201803270126200.jpg
5,8/11/2018,4/28/2018,{jpg} upon review days after that I have filmed some objects in slow motion flying through the frame at a very high rate of speed. The clip was recorded on an iPhone 7 at 240 FPS,"Joshua Tree, CA, US",,B1590136DB454E5081D0BD50942D4FDD.MOV
,,2:32PM,,,,294B0762CCBA4C93BB84E3A1D61DE87A.jpeg
6,5/11/2018,4/9/2018,{td} lights in the sky forming shapes,"twentynine palms, CA, US",,IMG5928.MOV
,,10:30PM,,,,
7,5/6/2018,4/28/2018,{td} On a flight to Los Angeles I looked out of my window to the north and bright lights in the distance.,"CA, US",,UFO.mp4
,,6:00PM,,,,
8,5/5/2018,4/22/2018,{jpg} Green about three feet jumped over fence more than1,"CA, US",,received1152600731549223.jpeg
,,10:05PM,,,,PhotoEditorEffects20180502190501.jpg
,,,,,,received1153441568131806.jpeg
,,,,,,PSX20180430121829.jpg
,,,,,,received1153441568131806.jpeg
9,4/27/2018,4/22/2018,{rjl} UFO which didn’t like like either a plane or helicopter,"Los Angeles, CA, US",,1CE7B8424F604EAE85BCE0617B5F6E3D.jpeg
,,7:43PM,,,,FE7A69539C574A96A2DA2BA6FD26A59E.png
,,,,,,5CCECE64481942578E8E11EC9781D29D.MOV
,,,,,,F7E585A2AF55494FBC6285B6912D0FF8.jpeg
10,4/26/2018,4/26/2018,{rjl} Foo fighters?,"Woodland, CA, US",,20180426083352.jpg
,,8:15AM,,,,
11,4/24/2018,4/23/2018,{rjl} a ball of light that desent towards the ground at a rapid rate,"hercules, CA, US",,
,,9:25PM,,,,
12,4/22/2018,4/22/2018,{rjl} Very high objects moved (floated?) across the sky.,"Pacific Grove, CA, US",,objects1.JPG
,,11:30AM,,,,objects2.JPG
,,,,,,objects3.JPG
