state_long,state_short,city_state,mj_legal,lat,long,sighting_date,short_description,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,3/16/2018,{cak} Stage object almost bat shaped but larger floating near building then disappeared behind it,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,6/26/2018,{td} Noticed an object my pictures of a lightning storm,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,7/14/2018,"{td} Lights woke us up. We thought it was fireworks, but looking in the sky we seen the lights. The object moved unlike any other air craft I've have seen. We have video footage as well.",,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,7/20/2018,{td} looked out window saw a bright white light moving no noise,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,8/9/2018,{jpg} Short cylinder that was silver and hovering,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,8/31/2018,{td} saw out window a blue light fluttering and changing direction no noise,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,8/31/2018,{td} Three lights in Atlanta. One turns into plane,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,9/19/2018,"{rjl} looked out window saw a golden object moving, no sound",,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,10/10/2018,{rjl} I saw object fly across open sky at high speed and went behind obstruction but never emerged on flight path.,,
Georgia,GA,Atlanta GA,No,33.7627,-84.4231,12/17/2018,"{rjl} looked out window saw a bright light, descend go up and moved out of site",,
New Jersey,NJ,Atlantic City NJ,Yes,39.3795,-74.4524,11/10/2018,{cak} We're driving down New Jersey Parkway south from Massachusetts heading towards Atlantic City my nephew in the back passenger seat asked me what that was pointing to sky? I saw it just hovered there so I filmed it from front passenger seat,,
New Jersey,NJ,Atlantic Highlands NJ,Yes,40.4112,-74.0297,8/4/2018,{rjl} Circular lights were Moving slowly across the sky,,
Indiana,IN,Attica IN,No,40.2877,-87.2449,3/16/2018,{cak} V shape light pattern.,,
Massachusetts,MA,Attleboro MA,Yes,41.9311,-71.295,6/10/2018,{cak} 3 orange light lights followed by chopper,,
Maine,ME,Auburn ME,Yes,44.085,-70.2492,1/16/2018,{rjl} fury ape like thing that stunk really bad,,
Washington,WA,Auburn WA,Yes,47.3039,-122.2108,2/24/2018,{td}Saw disc and after a min said to myself need to get pic this time got my phone and took 3 pictures,,
Washington,WA,Auburn WA,Yes,47.3039,-122.2108,3/15/2018,{cak} Bright pulsating twinkling light not found on sky view lite,,
Florida,FL,Auburndale FL,Yes,28.0966,-81.8007,3/28/2018,{td} Two bright Orbs randomly maneuvering then disappearing.,,
Florida,FL,Auburndale FL,Yes,28.0966,-81.8007,10/15/2018,{rjl} Saw what looked like a silver flying object disappear,,
Pennsylvania,PA,Audubon PA,Yes,40.1304,-75.428,3/23/2018,{td} Observed bright orange orb traveling on a straight horizontal path in generally a SE direction with small white lights at street level.,,
Georgia,GA,Augusta GA,No,33.3644,-82.0708,1/23/2018,{jpg} Trail of sequential lights blinking up to at least six (6) times before disappearing.,,
Oregon,OR,Aumsville OR,Yes,44.8462,-122.8698,7/15/2018,{dr}Bright red light and bright white light two weeks apart following us and coming closer.,,
Oregon,OR,Aumsville OR,Yes,44.8462,-122.8698,10/29/2018,{tjd} THIS LOOKS LIKE A STAR THAT MOVES A LOT OF DIFFERENT DIRECTIONS IF SOMBODY WANTS TO SEE SOMTHING VERY STRANGE I WOULD SHOW UP IN A WEEK OR TWO FOR CLOUDS,,
Colorado,CO,Aurora CO,Yes,39.7085,-104.7274,4/7/2018,{jpg}Me n my daughter were walking back home from the store I looked up in the sky n it looked like the sun  was still out. So my daughter had my phone n she took the picture. N when the picture was done there was a straight beam of light from the sky.,,
Colorado,CO,Aurora CO,Yes,39.7085,-104.7274,5/31/2018,"{td} Silver object moving slowly from west to east, the turned north.",,
Colorado,CO,Aurora CO,Yes,39.7085,-104.7274,9/8/2018,"{jpg} saw a star flash sort of like it exited time and space, and it was gone",,
Colorado,CO,Aurora CO,Yes,39.7085,-104.7274,10/3/2018,{jpg} Witnessed either an aircraft or spacecraft moving west to east at high altitude. The craft stopped and hovered near local AFB,,
Indiana,IN,Austin IN,No,38.7417,-85.8118,7/19/2018,{td} I saw a craft of some kind changing direction,,
Texas,TX,Austin TX,No,30.3038,-97.7545,1/12/2018,{cak} Observed what looked like a nonmoving shooting star. May have emitted small contrail. May have been moving very slowly.,,
Texas,TX,Austin TX,No,30.3038,-97.7545,1/13/2018,{rjl} I was flowing in the air. One on each side of me.,,
Texas,TX,Austin TX,No,30.3038,-97.7545,1/20/2018,{rjl} The lights moved together like it was one unit. It looked to be a triangular shape.,,
Texas,TX,Austin TX,No,30.3038,-97.7545,3/9/2018,{cak} My Dad and I saw a big cylinder object hovering and moving away from us.,,
Texas,TX,Austin TX,No,30.3038,-97.7545,6/8/2018,{jpg} Witnessed while driving. Less than a mile away. HUGE boomerang shape white & bluish white lights in the rear.,,
Texas,TX,Austin TX,No,30.3038,-97.7545,6/18/2018,{rjl} I saw a white cigar shaped ufo (in a vertical position) appear out of thin air and fly behind a cloud.,,
